Nha_thuoc,Dia_chi,dien_thoai
NT Thiên Hồng Phúc DS: Phạm Văn Phương,"Số 5, Lý Thường Kiệt, Di Linh, Di Linh, Lâm Đồng",0918860907
Công ty TNHH Đông Dược Mai Chi,"Số 62, Nguyễn Văn Tạo, 4, Tân An, Long An",0941809711
Nhà Thuốc Võ Tấn Hảo,"Quốc Lộ 1A, Mỹ Phú, Thủ Thừa, Long An","0377284558, 02723523334"
QT Minh Anh - DS : Phạm Văn Quang,"Xóm Lê Lợi,, Hải Lý, Hải Hậu, Nam Định",0906888662
QT Tỉnh Hoa,"Khu 5, Cồn, Hải Hậu, Nam Định",0965231518
Nhà Thuốc Gia Bảo - DS: Cao Thị Thu,"436C, Nguyễn Bính, Trần Quang Khải, Nam Định, Nam Định",0912768807
Nhà thuốc Mỹ Tâm,"Số 3 chợ Phủ thị trấn, Hưng Nguyên, Hưng Nguyên, Nghệ An",0912626770
Quầy Thuốc chữa bệnh Cao Thị Thảo,"Cầu Mưng,Khối 3, Khối 17, Hưng Nguyên, Hưng Nguyên, Nghệ An",0333338107
Quầy Thuốc Minh Ngọc,"Ngã 4Chợ Vạc, Nam Lĩnh, Nam Đàn, Nghệ An",0962601617
Quầy thuốc chữa bệnh Thảo Sinh,"Xóm Hậu Hoà, Chợ Quán, Nghi Hoa, Nghi Lộc, Nghệ An",0972380180
QT Cao Thị Ngọc,"Khối Nam Sơn, Kim Sơn, Quế Phong, Nghệ An",0945530565
QT Trần Thị Lương,"Khối Bắc Sơn, Kim Sơn, Quế Phong, Nghệ An",0343809403
Quầy thuốc Phạm Thị Vân,"xóm Tam Hợp, Minh Hợp, Quỳ Hợp, Nghệ An",0376929077
Công ty TNHHD Chiến Thắng -Nhà thuốc số 3,"Số 3, Đường Phan Bội Châu, Lê Lợi, Vinh, Nghệ An",0339052566
Cty TNHHDP Thiên Phú,"Số 8, Nguyễn Phong Sắc, Hưng Dũng, Vinh, Nghệ An",0989197677
Nhà Thuốc : Trung Tâm,"66, Lệ Ninh, Quán Bàu, Vinh, Nghệ An",0396426680
Nhà Thuốc Khang Khang,"128, Phan Chu Trinh, Quang Trung, Vinh, Nghệ An",0979158066
Nhà thuốc Như Hường,"88, Nguyễn Trường Tộ, Đông Vĩnh, Vinh, Nghệ An",0977880481
Nhà thuốc Phạm Phúc Dược sỹ Phạm Thị Hoài,"Số 9, Nguyễn Thái Học, Lê Lợi, Vinh, Nghệ An",0978224081
Nhà Thuốc Thành Tâm,"Số 09, Phạm Đình Toái, Hà Huy Tập, Vinh, Nghệ An",0974778528
Nhà thuốc Trường Giang,"Số 11, Đường Phan Công Tích, Hưng Dũng, Vinh, Nghệ An",0983013245
Nhà thuốc tư nhân Trần Anh Tuấn,"Chợ Vinh, Hồng Sơn, Vinh, Nghệ An",0979126862
NT Kiên Thảo 2,"93, Đường Nguyễn Phong Sắc, Hưng Dũng, Vinh, Nghệ An",0392622688
NT Việt Linh,"Số 10, Đường Héc Man, Hưng Phúc, Vinh, Nghệ An",0853519845
NT Vinh Hồng,"Số 7, Chợ Hưng Dũng, Hưng Dũng, Vinh, Nghệ An",0868590266
QT Tâm Phúc,"Lưu Xá, Hòa Chính, Chương Mỹ, Ngoại thành Hà Nội",0987529168
QT Như Bảo Ngọc,"Thôn Đoài, Nam Hồng, Đông Anh, Ngoại thành Hà Nội",0975117971
QT Minh Ngọc - DS Tạ Thị Bắc,"Xóm 3, Trung Mầu, Gia Lâm, Ngoại thành Hà Nội",0988695631
QT Tiến Hà - NDD:,"Thôn 12,, Sen Phương, Phúc Thọ, Ngoại thành Hà Nội",0349608022
Nhà thuốc Hòa Vân,"Số 212, Lê Lợi, Sơn Tây, Ngoại thành Hà Nội",0966753234
Công ty CP dược phẩm An Khang Pharma (Kho An Khang tại Hà Nội),"Cụm công nghiệp Thanh Oai, Bích Hòa, Thanh Oai, Ngoại thành Hà Nội",
NT An An Pharmacy DS: Nguyễn Đức Thành Và Nguyễn Nhật Linh,"174 , Tả Thanh Oai, Tả Thanh Oai, Thanh Trì, Ngoại thành Hà Nội",0979228995
Quầy Thuốc Quang Vinh - DS Trần Thuý Hằng,"Số 104, Ngõ 21, Tựu Liệt, yên ngưu, Văn Điển, Thanh Trì, Ngoại thành Hà Nội",0984938388
Công ty CPDP Hà Tây - Quầy thuốc GPP số 18 - DS Dương Thị Thu Trang,"Số 66 Chợ Que Hà, Quán Gánh, Nhị Khê, Thường Tín, Ngoại thành Hà Nội",0976753326
Quầy thuốc Nhật Minh DSPT Nguyễn Thị Thu Phương,"Quần Hiền, Hòa Bình, Thường Tín, Ngoại thành Hà Nội",0353906699
Nhà thuốc Thanh Hải,"A11/7A, Quốc Lộ 50, Bình Hưng, Bình Chánh, Ngoại thành HCM",0862750704
"Công ty CP DP Ninh Bình, Hiệu Thuốc Huyền Diệu","Số 66, Xuân Thành, Tân Thành, Ninh Bình, Ninh Bình",0916766746
Cty CP DPNB - HT An Khang,"Số 118, Lê Thái Tổ, Tân Thành, Ninh Bình, Ninh Bình",0819550997
QT Bích Hồng,"Chợ Chùa, Khánh Hội, Yên Khánh, Ninh Bình",0368346838
Thuốc tân dược - Trọng Huyên,"Chợ Vệ, Khánh Phú, Yên Khánh, Ninh Bình",0983005399
Nhà Thuốc Tư Nhân Ánh Châu - Dược Tá Nguyễn Thị Kim Ánh,"759C, Đường 21/8, Bảo An, Phan Rang-Tháp Chàm, Ninh Thuận",0888037605
NT Đồng SAnh,"Phú Thứ, Phú Thứ, Tây Hoà, Phú Yên",0917688604
QT Sa Vin,"Chợ Phú Nông, Hòa Bình 1, Tây Hoà, Phú Yên",0945035186
NT Đông Hưng,"Số 63, Trần Hưng Đạo, 6, Tuy Hoà, Phú Yên",0903523698
NT Ngọc ái DS: Nguyễn Thị Minh Tuyền,"Số 289, Lê Lợi, 1, Tuy Hoà, Phú Yên",0913495390
Quầy thuốc Ngã Ba Prao,"ngã ba Prao, P Rao, Đông Giang, Quảng Nam",0905406507
Hiệu thuốc số 9 - DS Nguyễn Thị Hồng Tuyết,"348, Phạm Văn Đồng, Núi Thành, Núi Thành, Quảng Nam",0914167469
Quầy Thuốc Ánh Minh_ NĐ D: Trần Thị Ngọc Ánh,"số 29, Phan Chu Trinh, Đông Phú, Quế Sơn, Quảng Nam",0904575737
NT Đức Thành - DS Lê Thị Lệ Thuỷ,"Số 06, Phan Chi Trinh, An Mỹ, Tam Kỳ, Quảng Nam",0905662531
NT Minh Tâm,"Tổ 7,thôn Vĩnh Bình, Tam Thăng, Tam Kỳ, Quảng Nam",0935010018
Quầy Thuốc Thu Tuyết,"Chợ Kế Xuyên, Bình Trung, Thăng Bình, Quảng Nam",0346435101
Quầy Thuốc Hoàng Mai,"Tiên Kỳ, Tiên Phước, Quảng Nam",0908447416
Nhà Thuốc Tuyết Nhung,"Đức Phổ, Đức Phổ, Quảng Ngãi","0833194003, 02553506036"
Nhà Thuốc Dũng Loan - Dược Trung Lý Thị Yến Loan,"Số 243, Lê Trung Đình, Trần Hưng Đạo, Quảng Ngãi, Quảng Ngãi",0932402997
QT Phương Uyên,"QL1A, Tịnh Phong, Sơn Tịnh, Quảng Ngãi",0989127407
Nhà Thuốc Minh Anh,"khu 7, Bãi Cháy, Hạ Long, Quảng Ninh",0983001389
NHÀ THUỐC QUỲNH ANH,"Số 73 tổ 5 Khu Trới 3, Hoành Bồ, Hạ Long, Quảng Ninh",0913861113
Hủy - NT Kiều Ngoan,"Số 900, ấp An Thượng, An Thạnh 1, Cù Lao Dung, Sóc Trăng",0395004387
NT Mỹ Linh,"Số 12, Trần Minh Phú, 1, Sóc Trăng, Sóc Trăng",0793822863
Phòng Chẩn Trị Y Học Cổ Truyền Đức Thạnh Đường,"ấp Châu Thành, Lịch Hội Thượng, Trần Đề, Sóc Trăng",0399447472
Nhà thuốc Tòng Sơn,"Số 13/2B, Khu Phố 1, Hòa Thành, Hòa Thành, Tây Ninh",0366218048
QT Gia Đình,"Chợ Giắng, xóm Mới, Đông Tân, Đông Hưng, Thái Bình",0949993856
QT Linh Nhung,"Minh Khai, Minh Khai, Hưng Hà, Thái Bình",0366353631
QT Nguyễn Thị Kim Quế,"Khu Khu2, Hưng Hà, Hưng Hà, Thái Bình",0984987668
Sở y tế Thái Bình - QT Tây,"Khuê Kiều, Minh Khai, Vũ Thư, Thái Bình",0977259400
Quầy thuốc Thanh Liêm - DS Trần Thị Lệ Giang,"Cù Vân, Đại Từ, Thái Nguyên",0986456931
Nhà thuốc Cường Hồng,"Số 322, Lương Ngọc Quyến, Đồng Quang, Thái Nguyên, Thái Nguyên",0362302339
QT Tốt Tốt,"Thôn Trung Tâm, Xã Yên Dương, Hà Yên, Hà Trung, Thanh Hóa",0394101082
QT Thắng Tuyên_DS: Khương Thị Tuyên,"Thôn Cự Đà, Hoằng Minh, Hoằng Hóa, Thanh Hóa",0962130358
QT Tới Trâm -đạt chuẩn GPP,"Cổng chợ Quăng, thôn Đình Bảng, Hoằng Lộc, Hoằng Hóa, Thanh Hóa","0978222136, 0353468234"
Công ty: TNHH Thương mại dịch vụ dược phẩm Hồng Phát,"11/245, Nguyễn Phục, Quảng Thắng, Thanh Hóa, Thanh Hóa",0931353883
NT Minh Trang,"2A, Hải thượng lãn ông, Đông Vệ, Thanh Hóa, Thanh Hóa",0386970359
NT Hải Yến,"1117, Nguyễn Tất Thành, Phú Bài, Hương Thủy, Thừa Thiên Huế",0702666672
NT Nhuận Hòa Đường,"Cầu Kè, Cầu Kè, Trà Vinh",0939689848
QT Nguyễn Thị Hải Yến,"Thôn Chè Đen 1, Hoàng Khai, Yên Sơn, Tuyên Quang",0962739969
NT Chung Thảo,"Số 152, Trần Phú, Liên Bảo, Vĩnh Yên, Vĩnh Phúc",0362716408
NT Ngọc Thảo,"số 25, Đường Lý Thường Kiệt, Đồng Tâm, Vĩnh Yên, Vĩnh Phúc",0986998873
QT Linh Nhi - CTDP Liên Long - DS Nguyễn Thị Hòa,"xóm gia Viêm, Định Trung, Vĩnh Yên, Vĩnh Phúc",0975195135
QT Vĩnh Hiền- NLH:Nguyễn Thị Vĩnh Hiền,"128 , chu văn an, Liên Bảo, Vĩnh Yên, Vĩnh Phúc",0983403791
Nhà thuốc Huyền Sơn - Dược sĩ Nguyễn Thị Sang,"Số 649, Yên Ninh, Yên Ninh, Yên Bái, Yên Bái",0912798764
Nhà Thuốc Nguyễn Lê,"Số 216, Nguyễn Thanh Đằng, Phước Hiệp, Bà Rịa, Bà Rịa - Vũng Tàu",0906334656
Nhà thuốc Đức Dũng - DS Nguyễn Ngọc Linh,"Số 113, Nguyễn Hữu Cảnh, Thắng Nhất, Vũng Tàu, Bà Rịa - Vũng Tàu",0792036468
Quầy Thuốc Sơn Thủy,"xóm 6, Việt Tiến, Việt Yên, Bắc Giang",0916456488
NT Phúc An,"Tổ 8, Đức Xuân, Phố Bắc Kạn, Bắc Kạn",0974933818
Nhà thuốc Hồng Ngọc - Dược sĩ Đàm Thị Mỹ Hạnh,"Số 63, Đường Trần Hưng Đạo, Tổ 11A, Đức Xuân, Phố Bắc Kạn, Bắc Kạn",0857729686
NT Minh Phúc - DS Nông ích Khoa,"Số nhà 91 tổ 7, Phùng Chí Kiên, Phố Bắc Kạn, Bắc Kạn",0962202922
NT Hà Bắc,"Số 242, trần hưng đạo, Tiền An, Bắc Ninh, Bắc Ninh",0979885112
Quầy thuốc Thiện Doan,"Kios 83B, Dãy 6 Chợ Thứa, Thứa, Lương Tài, Bắc Ninh",0978278600
QT Thu Hương,"Số 11, Hai Bà Trung, Lim, Tiên Du, Bắc Ninh",0977094042
Quầy thuốc tân dược,"Cổ Miếu, Phật Tích, Tiên Du, Bắc Ninh",0375624025
Quầy thuốc Tân Dược,"Khu phố Đình, Đình Bảng, Từ Sơn, Bắc Ninh",0985267169
Nhà thuốc Đại Trung Hòa,"Số 8, Lê Lai, 2, Bến Tre, Bến Tre",0789651893
Nhà Thuốc Thanh Loan,"Số 88, Võ Lai, Ngô Mây, Qui Nhơn, Bình Định","0902455156, 0902455156"
NT Tư Nhân Hưng Chính DS: Hồ Trung An,"Số 50 Đ, Trần Phú, Diêu Trì, Tuy Phước, Bình Định","0905577790, 0364944006"
Quầy Thuốc Mai Như,"53/32, Phạm NgọcThạch, Hiệp Thành, Thủ Dầu Một, Bình Dương",0987614693
Nt My Châu,"3/1 CMT8 khu phố Thạnh Lợi, An Thạnh, Thuận An, Bình Dương",0933028227
NT Bảo An 2,"Số 179/1, Ngô Quyền, Châu Văn Liêm, Ô Môn, Cần Thơ",0388515172
Đại lý thuốc tây Thanh Bình,"Số 409, Chợ Lệ Trạch, Hòa Tiến, Hòa Vang, Đà Nẵng",0989484678
Nhà Thuốc Kiều,"Đường DT605, thôn Dương Sơn, Hòa Tiến, Hòa Vang, Đà Nẵng",0905848830
Nhà thuốc An Khương-DS:Bùi Thị Nguyệt,"Số 152, Vân Đồn, Nại Hiên Đông, Sơn Trà, Đà Nẵng",0905041205
Nhà thuốc Dapharco 59 - DS Trần Thị Sung,"Số 126, Lý Thái Tổ, Thạc Gián, Thanh Khê, Đà Nẵng","0905202468, 05113834435"
NT An Tâm DS: Nguyễn Thị Thanh Tâm,"Số 50, Y Jut, Thống Nhất, Buôn Ma Thuột, Đắk Lắk",0935060598
Phòng Khám Hoàng Uyên Đường DS: Ngô Thị Nhạn,"Số 237, Lý Thường Kiệt, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk",0914957474
Hủy - NT Duyên Ngọc - Nguyễn Hữu Hoàng,"Số 19/4, Bùi Văn Hòa, Tân Biên, Biên Hòa, Đồng Nai",0382460865
Nhà thuốc Hải Đường - DS Nguyễn Thị Thanh Hồng,"D3B, Tân Hiệp, Biên Hòa, Đồng Nai",0862854815
Nhà thuốc Đức Long - DS Trần Đức Long,"Phòng 107D1, Trần Huy Liệu, Giảng Võ, Ba Đình, Hà Nội",0968227425
Nhà thuốc Tâm An 2 - DS Phùng Văn Mạnh,"Số 39 ngõ 254, đường Bưởi, Ngọc Khánh, Ba Đình, Hà Nội",0359973000
NT tư nhân Phương Uyên - DS Vũ Thị Huyền,"Số 74, Tây Tựu, Tây Tựu, Bắc Từ Liêm, Hà Nội",0989415238
NT Thân Thiện - DS: Phạm Văn Quý,"Số 10 Ngõ 68/39, Cầu Giấy, Quan Hoa, Cầu Giấy, Hà Nội",0916893886
NT tư nhân Minh Phúc - DS Lê Xuân Huê,"Số 119, Hoa Bằng, Yên Hoà, Cầu Giấy, Hà Nội","0984211969, 02437843351"
Nhà thuốc tư nhân - DS Trần Thị Tố Hoa,"Số 36, Vũ Ngọc Phan, Láng Hạ, Đống Đa, Hà Nội",0904288170
Nhà thuốc Anh Đức - D/s: Nguyễn Hồng Hải,"Số 116 tổ 19, Bắc Lãm, Phú Lương, Hà Đông, Hà Nội",0934563982
Nhà thuốc Hương Giang - DS Hoàng Trịnh Lê Nhung,"SN 1175, Tổ 2 , Do Lộ, Yên Nghĩa, Hà Đông, Hà Nội",0385273519
NT Minh Khuê - DS Nguyễn Thị Ngọc Anh,"Số 10, Lương Ngọc Quyến, Văn Quán, Hà Đông, Hà Nội",0985845169
Nhà thuốc Minh Tâm - DS Lê Thị Minh,"Số 55, Trương Định, Trương Định, Hai Bà Trưng, Hà Nội",0902048577
NT An Hưng 6 - Dược sỹ: Trần Thị Yến,"92 , dương văn bé, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",0945888884
NT Bình Minh - Ds: Lê Thu Trang,"Số 414, Đường Minh Khai, Minh Khai, Hai Bà Trưng, Hà Nội",0968009769
NT Nghĩa Hưng - DS Trần Thùy Giang,"Số 109, C8, Quỳnh Mai, Hai Bà Trưng, Hà Nội",0989175992
NT Phương Chính - DS Nguyễn Thị Xuân Lý,"Số 169A, Mai Hắc Đế, Bùi Thị Xuân, Hai Bà Trưng, Hà Nội",0918969893
Công ty CP Y dược Quốc Tế Mỹ Đức - Nhà thuốc Trường Thọ - DS Lê Thị Hậu,"Số 48, Phố Hai bà Trưng, Tràng Tiền, Hoàn Kiếm, Hà Nội",0912317825
Nhà thuốc Đức - DS Vũ Mạnh Tuấn,"Số 91E, Phố Hàng Mã, Hàng Mã, Hoàn Kiếm, Hà Nội","0903295357, 0976247979"
NT BiBo Pharma - DS: Nguyễn Thị Thu Hà,"kiot6 chung cư ct2 , Bắc Linh Đàm, Đại Kim, Hoàng Mai, Hà Nội",0898557712
NT Vì Dân - DS: Khương Thùy Linh,"Số 51 ngõ 126, Vĩnh Hưng, Vĩnh Hưng, Hoàng Mai, Hà Nội",0383147960
Nhà Thuốc Phi 2 - DS Phạm Anh Tuấn,"Số 54 tổ 3, Thạch Bàn, Thạch Bàn, Long Biên, Hà Nội",0985375555
Nhà thuốc tư nhân Tùng Lộc - DS Nguyễn Thị Thu Hiền,"Số 67/481, Ngọc Lâm, Ngọc Lâm, Long Biên, Hà Nội","0916056559, 02436502803"
NT Phúc Linh,"60/268, Ngọc Thụy, Ngọc Thụy, Long Biên, Hà Nội",0972425850
NT Bảo Khánh 6 - DS: Nguyễn Quốc Huy,"Số 122, Quang Tiến, Đại Mỗ, Nam Từ Liêm, Hà Nội",0985065188
NT Kiên Thuỷ,"Số 71 ngách 32/84 , Đỗ Đức Dục, Mễ Trì, Nam Từ Liêm, Hà Nội",0963160985
NT Minh An - DS: Đỗ Khắc Nhân,"Số 80 phố, Mễ Trì Hạ, Mễ Trì, Nam Từ Liêm, Hà Nội",0944348000
NT Phương Thảo ds: Võ Thị Lan,"tòa S1-03 (s1.0301S02) , KĐT Vinhoes Smart city, Tây Mỗ, Nam Từ Liêm, Hà Nội",0965993368
Nhà thuốc Thuốc & Sức khỏe - DS Ngô Thị Thanh Vàng,"Số 103, Trịnh Công Sơn, Nhật Tân, Tây Hồ, Hà Nội",0985233869
NT Trang Pharma - DS: Nguyễn Thị Trang,"Số 77/172, Âu Cơ, Tứ Liên, Tây Hồ, Hà Nội",0352250701
Nhà Thuốc Số 3 Hùng Hạnh - DS Nguyễn Thị Quỳnh,"Ki ot 03, Chợ Quang, Thanh Liệt, Thanh Trì, Hà Nội",0904918635
NT Khánh Linh - DS Cao Thị Yến,"31 ngõ 68 Xóm Chùa, Triều Khúc, Tân Triều, Thanh Trì, Hà Nội",0978848978
QT Hà Thị Hồng - Ds Hà Thị Hồng,"Số nhà 33 Quốc Bảo, , Văn Điển, Thanh Trì, Hà Nội",0971927239
QT Phong 2 - Ds Tạ Thị Vân,"Số 37 Ngõ 298, Ngọc Hồi, Ngọc Hồi, Thanh Trì, Hà Nội",0945098369
Nhà thuốc Hải Đăng - DS Đặng Thị Huệ Minh,"Số 142, Vũ Trọng Phụng, Nhân Chính, Thanh Xuân, Hà Nội",0349913614
NT Phương Anh - DS: Nguyễn Đức Anh,"8/144/4, Quan Nhân, Nhân Chính, Thanh Xuân, Hà Nội",0964408968
NT Phương Thanh - DS: Nguyễn Trung Thành,"Số 275, Khương Trung, Khương Trung, Thanh Xuân, Hà Nội",0983634600
Nhà Thuốc Hằng Nga,"Đình số 1, Chợ Hồng Lĩnh, Bắc Hồng, Hồng Lĩnh, Hà Tĩnh",0368848291
Quầy thuốc Thúy Hoàng,"Lang Khê, An Lâm, Nam Sách, Hải Dương",0977978083
Nhà thuốc Lan Nhi,"Số 42, Lãm Hà, Lãm Hà, Kiến An, Hải Phòng",0947892899
Nhà thuốc 303,"Số 303, Hai Bà Trưng, Cát Dài, Lê Chân, Hải Phòng",0933051704
Nhà Thuốc 303A - DS Ngô Văn Đậm,"Số 299, Hai Bà Trưng, Cát Dài, Lê Chân, Hải Phòng",0904246987
Công ty TNHH Dược Phẩm An Thiên - Nhà thuốc Nhị Trưng,"410-412, Hai Bà Trưng, Tân Định, 1, Hồ Chí Minh",0907634599
Hủy Quầy thuốc Huỳnh Thị Kim Dung - Chợ Sỉ Quận 1,"Số 44, Đặng Dung, Tân Định, 1, Hồ Chí Minh",0909630280
Nhà thuốc Trường Sinh,"Số 233 - 235, Ngô Quyền, 06, 10, Hồ Chí Minh",0939095801
NT Gia Hân - DS Hồ Thân Thương,"284/43 - 45, Lý Thường Kiệt, 14, 10, Hồ Chí Minh",0908167361
Nhà thuốc á Châu,"Số 48, Lê Văn Thịnh, Bình Trưng Tây, 2, Hồ Chí Minh",0909602599
NT Trường Thành 2,"Số 186, Trần Não, Bình An, 2, Hồ Chí Minh",0903697996
Hợp tác xã Đông Y Dược Hùng Vương,"Số 136, Hải Thượng Lãn Ông, 10, 5, Hồ Chí Minh",0937317328
Hiệu thuốc số 77,"Số 91, Đường Số 18, Phước Bình, 9, Hồ Chí Minh",0903629968
Nhà thuốc Anh Mỹ,"Số 608A, Hương Lộ 2, Bình Trị Đông, Bình Tân, Hồ Chí Minh",0949788524
Công ty Cổ phần Dược phẩm Pharmacity,"248A, Nơ Trang Long, 12, Bình Thạnh, Hồ Chí Minh",0982242902
Công Ty TNHH Dược Phẩm Medx,"248 A, Nơ Trang Long, 12, Bình Thạnh, Hồ Chí Minh",0979076754
Nhà thuốc Trinh Lê,"Số 67/4/113, vũ huy tấn, 05, Bình Thạnh, Hồ Chí Minh",0909516170
Nhà thuốc Tư Nhân An Lộc,"Số 526, nguyễn oanh, 16, Gò Vấp, Hồ Chí Minh",0908856847
NT Thịnh Vượng - DS Nguyễn Xuân Tiến,"Số 1107-1109, Cách Mạng Tháng Tám, 07, Tân Bình, Hồ Chí Minh",0919498647
Nhà thuốc Thanh Lan,"Số 49, Nguyễn Quý Anh, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",0854576058
Nhà thuốc Hà Khoa,"BG_09 shophour vincom tổ 9 , Cù Chính Lan, Đồng Tiến, Hòa Bình, Hoà Bình",0901513222
Nhà Thuốc Ngọc Tú 2,"284, Trần Hưng Đạo, Đồng Tiến, Hòa Bình, Hoà Bình",0983748491
QT Việt Pháp,"Phương Thông, Phương Chiểu, Hưng Yên, Hưng Yên",0982611695
Quầy thuốc Thu Dĩnh - DS Trịnh Thị Thu,"Làng Cao Quán, Hồng Tiến, Khoái Châu, Hưng Yên",0982002986
QT Ninh Giang,"Trương Xá, Toàn Thắng, Kim Động, Hưng Yên",0382141375
Qt An Phát,"Thủ Sỹ, Tiên Lữ, Hưng Yên",0983240987
Phòng CTYHCT Hưng Thạnh Đường,"Số 15, Nguyễn Công Trứ, Cam Nghĩa, Cam Ranh, Khánh Hòa",0984924270
Quầy Thuốc Minh Nhựt 2,"Số 93, Trần Quý Cáp, Diên Khánh, Diên Khánh, Khánh Hòa",0932602527
NT Tư Nhân Ngọc Dung,"69, Quang Trung, 9, Đà Lạt, Lâm Đồng",0977566131
NT Tư Nhân Nhân Hòa,"Số 10, Nguyễn Thị Minh Khai, 1, Đà Lạt, Lâm Đồng",0947449683
QT Ninh Giới,"Thôn Cây Hồng, Chi Lăng, Chi Lăng, Lạng Sơn",0976874280
QT Thanh Tuyền,"Số 3, Khu 8, Đình Lập, Đình Lập, Lạng Sơn",0982205368
Nhà Thuốc 36 Bình Yên,"289, Cách Mạng Tháng 8, Phố Lu, Bảo Thắng, Lào Cai",0986194393
Quầy thuốc số 73 - NDD: Phạm Tiến Dũng,"199B, Cách mạng tháng tám, Phố Lu, Bảo Thắng, Lào Cai",0915091607
Nhà thuốc Lan Vũ,"Số 150, Hàm Nghi, Kim Tân, Lào Cai, Lào Cai",0395798869
Nhà thuốc Tâm Đức,"Số 194, Hàm Nghi, Kim Tân, Lào Cai, Lào Cai",0345444782
Nhà thuốc Thu Hiền,"Số 16A, Lý Công Uẩn, Kim Tân, Lào Cai, Lào Cai",0944398427
NT Thu Hương,"Lô 25, T 8, Pom Hán, Lào Cai, Lào Cai",0915281688
Nhà thuốc Tế Phước Đường,"số 156, Đông Thành, Đức Huệ, Long An","0912939320, 02723854407"
NT Tế Lương Đường 4,"số 9 Khu Phô 1, Hùng Vương, 1, Kiến Tường, Long An",0987603737
Cty TNHH Hưng Bình Hường - NT Đền Giếng - DS Mai Thị Ngọc,"Số Nhà 390, Hoàng Văn Thụ, Quang Trung, Nam Định, Nam Định","0945451954, 02283849130"
NT Mỹ Nhung 2 - Ds Bùi Thị Nhung,"358-360, Điện Biên, Cửa Bắc, Nam Định, Nam Định",0919469195
QT Thúy Hạnh -NDD: Hoàng Văn Hiệu,"xóm Khang Ninh, Trực Cường, Trực Ninh, Nam Định",0989256607
Nhà thuốc Hà Thảo Chi,"Ki ốt số 13 Chợ Nghi Hương, Đường Nguyễn Sinh Cung, Nghi Hương, Cửa Lò, Nghệ An",0984598884
Quầy thuốc Trịnh Thị Sâm,"Khối Phan Bội Châu, Nam Đàn, Nam Đàn, Nghệ An",0358992070
Nhà Thuốc Khánh Nhi,"Số 18, Lý Nhật Quang, Bến Thủy, Vinh, Nghệ An",0398549123
Nhà thuốc Ngọc Khang,"Số 159, Đường Nguyễn Phong Sắc, Hưng Dũng, Vinh, Nghệ An",0978959379
NT Anh Quân,"Số 55, đường Hải Thượng Lãn Ông., Hà Huy Tập, Vinh, Nghệ An",0845793289
NT Hồng Hạnh,"152, Ngô Đức Kế, Hồng Sơn, Vinh, Nghệ An",0946244345
NT Số 1Cty DP Thiên Phú,"17, Nguyễn Phong Sắc, Hưng Dũng, Vinh, Nghệ An",0989197677
QT Tài Phương,"Số 60, Đường Nguyễn Duy Trinh, Hưng Dũng, Vinh, Nghệ An",0365922671
"Quầy Thuốc Bính Tài , DS Nguyễn Thị Bính","Chợ Tân Lập, Tân Lập, Đan Phượng, Ngoại thành Hà Nội",0833484684
QT tư nhân Quỳnh Hoa - DS Cao Thị Quỳnh Hoa,"Lưu Xá, Đức Giang, Hoài Đức, Ngoại thành Hà Nội",0392247248
QT Đặng Kim Cúc - DS Đặng Kim Cúc,"Thôn 5, Xóm Chợ, Phù Lưu Tế, Mỹ Đức, Ngoại thành Hà Nội",0979541366
QT Phú Đức - DS Phạm Phú Tuyền,"Thôn Cổ Chế, Phúc Tiến, Phú Xuyên, Ngoại thành Hà Nội",0989653823
Quầy thuốc số 2 Liên Nam - DS Vũ Thị Nga,"Thôn Thụy Khê, Sài Sơn, Quốc Oai, Ngoại thành Hà Nội",0978438899
QT Hoàn Nghĩa - D/s: Nguyễn Thị Nghĩa,"Đường Bệnh Viện, Tổ 1,, Miếu Thờ, Tiên Dược, Sóc Sơn, Ngoại thành Hà Nội",0988237906
Nhà thuốc Hồng Liên 1,"Số 273, Lê Lợi, , Lê Lợi, Sơn Tây, Ngoại thành Hà Nội",0913380412
Quầy thuốc- DS Nguyễn Thị Vượng,"Làng Bùng , Thôn 9, Phùng Xá, Thạch Thất, Ngoại thành Hà Nội",0387568889
Nhà Thuốc Toàn Tâm - DS Trần Thị Phượng,"Chợ Quang, Thanh Liệt, Thanh Trì, Ngoại thành Hà Nội",0973390207
PCT THIỆN AN,"Số 151, Ngô Gia Tự, Thanh Sơn, Phan Rang-Tháp Chàm, Ninh Thuận","0703369447, 0365417155"
Nhà thuốc Hùng Dục,"Tổ dân phố 10, Nam Lý, Phố Đồng Hới, Quảng Bình",0905822383
Nhà thuốc Lan Sơn,"Số 136, Phan Đình Phùng, Bắc Lý, Phố Đồng Hới, Quảng Bình",0919451349
QT Đức Tín,"Duy Trinh, Duy Xuyên, Quảng Nam",0972134284
