,Tên công ty,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh chính,Loại ngành nghề,Mã ngành nghề,Ngành nghề kinh doanh,Phường/Xã,Quận/Huyện,Tỉnh/Thành Phố,Mã tỉnh,Miền,URL,Trạng thái invoice,URL invoice,Tên invoice,Mã số thuế invoice ,Cảnh báo,Tên quốc tế,Tên viết tắt
37,TRƯỜNG CAO ĐẲNG CƠ KHÍ NÔNG NGHIỆP,2500224675,Tam hợp - Xã Tam Hợp - Huyện Bình Xuyên - Vĩnh Phúc.,Phạm Thị Lan Phương ( sinh năm 1973 - Vĩnh Phúc) Ẩn thông tin,0211866087 098413258,2004-03-10,Cục Thuế Tỉnh Vĩnh Phúc,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Tam Hợp,Huyện Bình Xuyên,Vĩnh Phúc.,VPC,MB,https://masothue.com/2500224675-truong-cao-dang-co-khi-nong-nghiep,Không chứa thông tin hoá đơn,,,,,,
38,TRƯỜNG CAO ĐẲNG CÔNG THƯƠNG PHÚ THỌ,2600350419,Khu Mã Thượng - Thị trấn Phong Châu - Huyện Phù Ninh - Phú Thọ.,Nguyễn Đăng Toàn,0210 829 467,2006-06-22,Cục Thuế Tỉnh Phú Thọ,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Thị trấn Phong Châu,Huyện Phù Ninh,Phú Thọ.,PTO,MB,https://masothue.com/2600350419-truong-cao-dang-cong-thuong-phu-tho,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
39,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ VÀ NÔNG LÂM PHÚ THỌ,2600203284,. - Xã Hà Lộc - Thị xã Phú Thọ - Phú Thọ.,Nguyễn Xuân Lới,Bị ẩn theo yêu cầu người dùng,1999-01-05,Chi cục Thuế Thị xã Phú Thọ,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Hà Lộc,,,,,https://masothue.com/2600203284-truong-cao-dang-cong-nghe-va-nong-lam-phu-tho,Hoá đơn giấy,https://masothue.com/2600168801-cong-ty-co-pha-n-in-phu-tho,CÔNG TY CỔ PHẦN IN PHÚ THỌ,2600168801 - CÔNG TY CỔ PHẦN IN PHÚ THỌ,,,
40,TRƯỜNG CAO ĐẲNG NGHỀ CÔNG NGHỆ VIỆT - HÀN BẮC GIANG,2400644901,Dĩnh Trì - Xã Dĩnh Trì - Thành phố Bắc Giang - Bắc Giang.,Nguyễn Công Thông,02403822188,2013-06-04,Cục Thuế Tỉnh Bắc Giang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Dĩnh Trì,Thành phố Bắc Giang,Bắc Giang.,BGG,MB,https://masothue.com/2400644901-truong-cao-dang-nghe-cong-nghe-viet-han-bac-giang,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
41,"TRƯỜNG CAO ĐẲNG CÔNG NGHỆ, KINH TẾ VÀ THỦY SẢN",0200741573,Số 804 Đường Thiên lôi - Phường Kênh Dương - Quận Lê Chân - Hải Phòng.,Hồ Đình Hải,3728585,2007-05-24,Cục Thuế TP Hải Phòng,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Kênh Dương,Quận Lê Chân,Hải Phòng.,HPG,MT,https://masothue.com/0200741573-truong-cao-dang-cong-nghe-kinh-te-va-thuy-san,Không chứa thông tin hoá đơn,,,,,,
42,TRƯỜNG CAO ĐẲNG NGHỀ CÔNG NGHIỆP VIỆT BẮC- VINACOMIN,4600200833,"Xóm Sơn cẩm, xã Sơn cẩm - - Huyện Phú Lương - Thái Nguyên.",Vũ Minh Tân,0280844311,1998-11-17,Cục Thuế Tỉnh Thái Nguyên,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,,,,,"Xóm Sơn cẩm, xã Sơn cẩm",Huyện Phú Lương,Thái Nguyên.,TNN,TN,https://masothue.com/4600200833-truong-cao-dang-nghe-cong-nghiep-viet-bac-vinacomin,Hoá đơn giấy,https://masothue.com/5700100256-tap-doan-cong-nghiep-than-khoang-san-viet-nam,TẬP ĐOÀN CÔNG NGHIỆP THAN - KHOÁNG SẢN VIỆT NAM,5700100256 - TẬP ĐOÀN CÔNG NGHIỆP THAN - KHOÁNG SẢN VIỆT NAM,,,
43,TRƯỜNG CAO ĐẲNG DU LỊCH ĐÀ NẴNG,0401382934,"Đường Nam Kỳ Khởi Nghĩa, tổ 69, Phường Hòa Hải - Phường Hoà Hải - Quận Ngũ Hành Sơn - Đà Nẵng.",Nguyễn Duy Quang,3840892,2010-10-06,Cục Thuế TP Đà Nẵng,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"Đường Nam Kỳ Khởi Nghĩa, tổ 69, Phường Hòa Hải",Quận Ngũ Hành Sơn,Đà Nẵng.,DNG,MT,https://masothue.com/0401382934-truong-cao-dang-du-lich-da-nang,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
44,TRƯỜNG CAO ĐẲNG DU LỊCH HUẾ,3300314813,01 Điềm Phùng Thị - Phường Vỹ Dạ - Thành phố Huế - Thừa Thiên - Huế.,Vũ Hoài Phương,02343830285,2000-04-11,Cục Thuế Tỉnh TT-Huế,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Vỹ Dạ,Thành phố Huế,Thừa Thiên,,,https://masothue.com/3300314813-truong-cao-dang-du-lich-hue,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
45,TRƯỜNG CAO ĐẲNG GTVT ĐƯỜNG THUỶ I,0800234198,Nam Đồng - - Thành phố Hải Dương - Hải Dương.,Đỗ Văn Tuấn,03203853720,2000-06-22,Cục Thuế Tỉnh Hải Dương,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/0800234198-truong-cao-dang-gtvt-duong-thuy-i,Hoá đơn giấy,https://masothue.com/0800010670-cong-ty-co-pha-n-in-va-vat-tu-hai-duong,CÔNG TY CỔ PHẦN IN VÀ VẬT TƯ HẢI DƯƠNG,0800010670 - CÔNG TY CỔ PHẦN IN VÀ VẬT TƯ HẢI DƯƠNG,,,
46,TRƯỜNG CAO ĐẲNG GIAO THÔNG VẬN TẢI TRUNG ƯƠNG II,0200334899,Xã Hồng Thái - - Huyện An Dương - Hải Phòng.,Nguyễn Văn Tuấn,3225493,1999-02-04,Cục Thuế TP Hải Phòng,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Hồng Thái,Huyện An Dương,Hải Phòng.,HPG,MT,https://masothue.com/0200334899-truong-cao-dang-giao-thong-van-tai-trung-uong-ii,Không chứa thông tin hoá đơn,,,,,,
47,TRƯỜNG CAO ĐẲNG NGHỀ HÀ NAM,0700228200,Đường Lê Hoàn - Phường Quang Trung - Thành phố Phủ Lý - Hà Nam.,Vũ Hữu ý ( sinh năm 1980 - Hà Nam) Ẩn thông tin,03513854275,2005-07-11,Cục Thuế Tỉnh Hà Nam,"Tổ chức kinh tế của tổ chức CT, CT-XH, XH, XH-NN",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Quang Trung,Thành phố Phủ Lý,Hà Nam.,HNM,MB,https://masothue.com/0700228200-truong-cao-dang-nghe-ha-nam,Không chứa thông tin hoá đơn,,,,,,
48,TRƯỜNG CAO ĐẲNG NGHỀ HẢI DƯƠNG,0800391095,ái Quốc - - Huyện Nam Sách - Hải Dương.,Vũ Trung Hiếu,03203753299,2007-11-20,Cục Thuế Tỉnh Hải Dương,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/0800391095-truong-cao-dang-nghe-hai-duong,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
49,TRƯỜNG CAO ĐẲNG NGHỀ HOA SEN,0400592569,K62/39 Hà Huy Tập - Phường Thanh Khê Đông - Quận Thanh Khê - Đà Nẵng.,Lưu Phước Dũng ( sinh năm 1965 - Đà Nẵng) Ẩn thông tin,0988019346-093588404,2007-12-17,Chi cục Thuế khu vực Thanh Khê - Liên Chiểu,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng.,DNG,MT,https://masothue.com/0400592569-truong-cao-dang-nghe-hoa-sen,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
50,TRƯỜNG CAO ĐẲNG KINH TẾ - KỸ THUẬT BẮC BỘ,0201018303,Số 184 đường 5 mới - Phường Hùng Vương - Quận Hồng Bàng - Hải Phòng.,Nguyễn Ngọc Giáp,,,Cục Thuế TP Hải Phòng,,,,,,,Phường Hùng Vương,Quận Hồng Bàng,Hải Phòng.,HPG,MT,https://masothue.com/0201018303-truong-cao-dang-kinh-te-ky-thuat-bac-bo,Hoá đơn giấy,https://masothue.com/0200638946-cong-ty-co-phan-cong-nghe-so-va-in-do-hoa,CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ VÀ IN ĐỒ HỌA,0200638946 - CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ VÀ IN ĐỒ HỌA,,,
51,TRƯỜNG CAO ĐẲNG CÔNG NGHIỆP BẮC NINH,2300240567,"Số 499, đường Hàn Thuyên, khu I - Phường Đại Phúc - Thành phố Bắc Ninh - Bắc Ninh.",Nguyễn Đức Lưu,0241821230,,Cục Thuế Tỉnh Bắc Ninh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Đại Phúc,Thành phố Bắc Ninh,Bắc Ninh.,BNH,MB,https://masothue.com/2300240567-truong-cao-dang-cong-nghiep-bac-ninh,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
52,TRƯỜNG CAO ĐẲNG NGHỀ CÔNG NGHỆ LICOGI,0302310209-007,"Khu trung tâm số 4, Khu kinh tế nghi sơn - Phường Trúc Lâm - Thị xã Nghi Sơn - Thanh Hoá.",Lê Văn Hội,,2001-06-05,Chi cục Thuế thị xã Nghi Sơn,Công ty cổ phần ngoài NN,Không hoạt động tại địa chỉ đăng ký,,,,,Phường Trúc Lâm,,,,,https://masothue.com/0302310209-007-truong-cao-dang-nghe-cong-nghe-licogi,Không chứa thông tin hoá đơn,,,,,,
53,TRƯỜNG CAO ĐẲNG NGHỀ LILAMA1,2700351198,Đường Lê Hồng Phong - - Thành phố Ninh Bình - Ninh Bình.,Phạm Duy Bảy,,2008-06-05,Cục Thuế Tỉnh Ninh Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/2700351198-truong-cao-dang-nghe-lilama1,Không chứa thông tin hoá đơn,,,,,,
54,TRƯỜNG CAO ĐẰNG NGHỀ MỎ HỒNG CẨM - VINACOMIN,5700302340,Số 8 Chu Văn An - Phường Hồng Hải - Thành phố Hạ Long - Quảng Ninh.,Nguyễn Quốc Tuấn,626473,2000-05-09,Chi cục Thuế Thành phố Hạ Long,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,,,,,Phường Hồng Hải,Thành phố Hạ Long,Quảng Ninh.,QNH,MB,https://masothue.com/5700302340-truong-cao-dang-nghe-mo-hong-cam-vinacomin,Hoá đơn giấy,https://masothue.com/5700100256-tap-doan-cong-nghiep-than-khoang-san-viet-nam,TẬP ĐOÀN CÔNG NGHIỆP THAN - KHOÁNG SẢN VIỆT NAM,5700100256 - TẬP ĐOÀN CÔNG NGHIỆP THAN - KHOÁNG SẢN VIỆT NAM,,,
55,TRƯỜNG CAO ĐẲNG NGHỀ MỎ HỮU NGHỊ - VINACOMIN,5700100834,Phường Thanh Sơn - Phường Thanh Sơn - Thành phố Uông Bí - Quảng Ninh.,Nguyễn Văn Sỹ,854467,2006-12-29,Chi cục Thuế khu vực Uông Bí - Quảng Yên,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,,,,,Phường Thanh Sơn,Thành phố Uông Bí,Quảng Ninh.,QNH,MB,https://masothue.com/5700100834-truong-cao-dang-nghe-mo-huu-nghi-vinacomin,Hoá đơn giấy,https://masothue.com/5700100256-tap-doan-cong-nghiep-than-khoang-san-viet-nam,TẬP ĐOÀN CÔNG NGHIỆP THAN - KHOÁNG SẢN VIỆT NAM,5700100256 - TẬP ĐOÀN CÔNG NGHIỆP THAN - KHOÁNG SẢN VIỆT NAM,,,
56,TRƯỜNG CAO ĐẲNG KINH TẾ VÀ CÔNG NGHỆ NAM ĐỊNH,0600153424,"Số 1392, đường Trần Huy Liệu, Phường Mỹ Xá - - Thành phố Nam Định - Nam Định.",Đinh Văn Hoản,Bị ẩn theo yêu cầu người dùng,1999-07-19,Cục Thuế Tỉnh Nam Định,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"Số 1392, đường Trần Huy Liệu, Phường Mỹ Xá",Thành phố Nam Định,Nam Định.,NDH,MB,https://masothue.com/0600153424-truong-cao-dang-kinh-te-va-cong-nghe-nam-dinh,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
57,TRƯỜNG CAO ĐẲNG NGHỀ NGUYỄN TRI PHƯƠNG THUỘC CÔNG TY CỔ PHẦN GIÁO DỤC NGUYỄN TRI PHƯƠNG,3301324807-001,"Km23-Quốc lộ 1A, Xã Phong An, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",TRẦN VĂN DU,0543618031,2014-06-30,Cục Thuế Tỉnh TT-Huế,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Đào tạo đại học 8541,Giáo dục,P,"""1. Bán buôn chuyên doanh khác chưa được phân vào đâu 4669
2. Đào tạo trung cấp 8532
3. Dịch vụ hỗ trợ giáo dục 8560
4. Đào tạo đại học 8541""",Xã Phong An,Huyện Phong Điền,Tỉnh Thừa Thiên Huế,,,https://masothue.com/3301324807-001-truong-cao-dang-nghe-nguyen-tri-phuong-thuoc-cong-ty-co-phan-giao-duc-nguyen-tri-phuong,Không chứa thông tin hoá đơn,,,,,NGUYEN TRI PHUONG VOCATIONAL COLLEGE OF NGUYEN TRI PHUONG EDUCATION JOINT STOCK COMPANY,
58,TRƯỜNG CAO ĐẲNG NGUYỄN VĂN TRỖI,0400657199,69- Đoàn Hữu Trưng - Phường Hoà An - Quận Cẩm Lệ - Đà Nẵng.,Nguyễn Thị Hồng Nhạn,3605677,2008-09-30,Chi cục thuế khu vực Cẩm Lệ - Hòa Vang,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Hoà An,Quận Cẩm Lệ,Đà Nẵng.,DNG,MT,https://masothue.com/0400657199-truong-cao-dang-nguyen-van-troi,Hoá đơn giấy,https://masothue.com/0400540031-cong-ty-tnhh-thuong-mai-dich-vu-hoang-danh,CÔNG TY TNHH THƯƠNG MẠI & DỊCH VỤ HOÀNG DANH,0400540031 - CÔNG TY TNHH THƯƠNG MẠI & DỊCH VỤ HOÀNG DANH,,,
59,TRƯỜNG CAO ĐẲNG NGHỀ PHÚ THỌ,2600442349,Khu I - Phường Vân Phú - Thành phố Việt Trì - Phú Thọ.,Bùi Đức Tài,0210 952 797,2008-09-19,Cục Thuế Tỉnh Phú Thọ,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Vân Phú,Thành phố Việt Trì,Phú Thọ.,PTO,MB,https://masothue.com/2600442349-truong-cao-dang-nghe-phu-tho,Hoá đơn giấy,https://masothue.com/2600168801-cong-ty-co-pha-n-in-phu-tho,CÔNG TY CỔ PHẦN IN PHÚ THỌ,2600168801 - CÔNG TY CỔ PHẦN IN PHÚ THỌ,,,
60,TRƯỜNG CAO ĐẲNG NGHỀ VIỆT XÔ SỐ 1,2500225358,Khu 8 - Phường Xuân Hoà - Thành phố Phúc Yên - Vĩnh Phúc.,Trần Đức Tiệp,863056,,Cục Thuế Tỉnh Vĩnh Phúc,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,Phường Xuân Hoà,Thành phố Phúc Yên,Vĩnh Phúc.,VPC,MB,https://masothue.com/2500225358-truong-cao-dang-nghe-viet-xo-so-1,Không chứa thông tin hoá đơn,,,,,,
61,TRƯỜNG CAO ĐẲNG VIGLACERA,0101495461,92 Vĩnh Phúc - Phường Vĩnh Phúc - Quận Ba Đình - Hà Nội.,Nguyễn Thị Hải Yến ( sinh năm 1971 - Hà Nội) Ẩn thông tin,7610112,2004-06-11,Cục Thuế Thành phố Hà Nội,,,,,,,Phường Vĩnh Phúc,Quận Ba Đình,Hà Nội.,HNI,MB,https://masothue.com/0101495461-truong-cao-dang-viglacera,Hoá đơn điện tử,https://masothue.com/0101360697-cong-ty-co-phan-bkav,CÔNG TY CỔ PHẦN BKAV,0101360697 - CÔNG TY CỔ PHẦN BKAV,,,
62,TRƯỜNG CAO ĐẲNG NGHỀ VINASHIN,0200639869,Đường Hải triều - Phường Quán toan - - Quận Hồng Bàng - Hải Phòng.,Nguyễn Văn Toàn,534435,,Cục Thuế TP Hải Phòng,,,,,,,Phường Quán toan,Quận Hồng Bàng,Hải Phòng.,HPG,MT,https://masothue.com/0200639869-truong-cao-dang-nghe-vinashin,Hoá đơn giấy,https://masothue.com/0200638946-cong-ty-co-phan-cong-nghe-so-va-in-do-hoa,CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ VÀ IN ĐỒ HỌA,0200638946 - CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ VÀ IN ĐỒ HỌA,,,
63,TRƯỜNG CAO ĐẲNG VMU,0200869799-004,Đường Hải Triều - Phường Quán Toan - Quận Hồng Bàng - Hải Phòng.,Đào Minh Quân ( sinh năm 1976 - Hải Phòng) Ẩn thông tin,3 534435,2009-02-03,Cục Thuế TP Hải Phòng,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Quán Toan,Quận Hồng Bàng,Hải Phòng.,HPG,MT,https://masothue.com/0200869799-004-truong-cao-dang-vmu,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
64,TRƯỜNG CAO ĐẲNG NGOẠI NGỮ - CÔNG NGHỆ VIỆT NHẬT,2300304468,"Lô E6 KCN Quế Võ, xã Vân Dương - - Thành phố Bắc Ninh - Bắc Ninh.",Nguyễn Đăng Đào,0241634027,2007-06-12,Cục Thuế Tỉnh Bắc Ninh,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,"Lô E6 KCN Quế Võ, xã Vân Dương",Thành phố Bắc Ninh,Bắc Ninh.,BNH,MB,https://masothue.com/2300304468-truong-cao-dang-ngoai-ngu-cong-nghe-viet-nhat,Hoá đơn tự in,,,,,,
65,TRƯỜNG CAO ĐẲNG NÔNG LÂM ĐÔNG BẮC,5700391710,"Số nhà 607, Đường Mạc Đăng Dung - Phường Minh Thành - Thị xã Quảng Yên - Quảng Ninh.",Phan Thanh Lâm ( sinh năm 1970 - Bắc Ninh) Ẩn thông tin,0345336688,2002-06-20,Chi cục Thuế khu vực Uông Bí - Quảng Yên,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Minh Thành,,,,,https://masothue.com/5700391710-truong-cao-dang-nong-lam-dong-bac,Hoá đơn tự in,,,,,,
66,TRƯỜNG CAO ĐẲNG PHÁT THANH TRUYỀN HÌNH I,0700235039,Số 136 Quy Lưu - Phường Minh Khai - Thành phố Phủ Lý - Hà Nam.,Nguyễn Văn Sơn ( sinh năm 1976 - Hà Nội) Ẩn thông tin,0351854054,2005-12-19,Cục Thuế Tỉnh Hà Nam,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Minh Khai,Thành phố Phủ Lý,Hà Nam.,HNM,MB,https://masothue.com/0700235039-truong-cao-dang-phat-thanh-truyen-hinh-i,Không chứa thông tin hoá đơn,,,,,,
67,TRƯỜNG CAO ĐẲNG PHƯƠNG ĐÔNG ĐÀ NẴNG,0400442764,32 Phan Đăng Lưu - Phường Hoà Cường Bắc - Quận Hải Châu - Đà Nẵng.,Lê Ngọc Việt,3642712,,Chi cục Thuế Quận Hải Châu,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Hoà Cường Bắc,Quận Hải Châu,Đà Nẵng.,DNG,MT,https://masothue.com/0400442764-truong-cao-dang-phuong-dong-da-nang,Hoá đơn giấy,https://masothue.com/0400491306-cong-ty-tnhh-in-kien-vn,CÔNG TY TNHH IN KIẾN.VN,0400491306 - CÔNG TY TNHH IN KIẾN.VN,,,
68,TRƯỜNG CAO ĐẲNG SƯ PHẠM BẮC NINH,2300248580,Số 12A đường Bình Than - Phường Đại Phúc - Thành phố Bắc Ninh - Bắc Ninh.,Nguyễn Hữu Tuyến ( sinh năm 1968 - Bắc Ninh) Ẩn thông tin,0241822723/094605936,2005-05-20,Chi cục Thuế Thành phố Bắc Ninh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Đại Phúc,Thành phố Bắc Ninh,Bắc Ninh.,BNH,MB,https://masothue.com/2300248580-truong-cao-dang-su-pham-bac-ninh,Không chứa thông tin hoá đơn,,,,,,
69,TRƯỜNG CAO ĐẲNG SƯ PHẠM QUẢNG NINH,5700628215,Khu Nam Trung - Phường Nam Khê - Thành phố Uông Bí - Quảng Ninh.,Nguyễn Đức Khảm,033.856391,2007-01-17,Chi cục Thuế khu vực Uông Bí - Quảng Yên,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,,,,,Phường Nam Khê,Thành phố Uông Bí,Quảng Ninh.,QNH,MB,https://masothue.com/5700628215-truong-cao-dang-su-pham-quang-ninh,Không chứa thông tin hoá đơn,,,,,,
70,TRƯỜNG CAO ĐẲNG SƯ PHẠM THÁI NGUYÊN,4600497172,"Đường Quang Trung, phường Thịnh đán - - Thành phố Thái Nguyên - Thái Nguyên.",Đồng Văn Đạt,,2009-02-21,Cục Thuế Tỉnh Thái Nguyên,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,,,,,"Đường Quang Trung, phường Thịnh đán",Thành phố Thái Nguyên,Thái Nguyên.,TNN,TN,https://masothue.com/4600497172-truong-cao-dang-su-pham-thai-nguyen,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
71,TRƯỜNG CAO ĐẲNG THỐNG KÊ,2300479563,Số 568 Thành Cổ - Phường Vệ An - Thành phố Bắc Ninh - Bắc Ninh.,Nguyễn Thị Huệ,3824611,2009-07-16,Cục Thuế Tỉnh Bắc Ninh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Vệ An,Thành phố Bắc Ninh,Bắc Ninh.,BNH,MB,https://masothue.com/2300479563-truong-cao-dang-thong-ke,Không chứa thông tin hoá đơn,,,,,,
72,TRƯỜNG CAO ĐẲNG THƯƠNG MẠI,0401283637,45 Dũng Sỹ Thanh Khê - - Quận Thanh Khê - Đà Nẵng.,Đinh Văn Tuyên,05113756403,2009-07-14,Cục Thuế TP Đà Nẵng,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/0401283637-truong-cao-dang-thuong-mai,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
73,TRƯỜNG CAO ĐẲNG THUỶ LỢI BẮC BỘ,0700236868,Xóm 4 - Xã Liêm Chung - Thành phố Phủ Lý - Hà Nam.,Vũ Văn Đoan ( sinh năm 1963 - Hà Nam) Ẩn thông tin,0351854448,2006-03-22,Cục Thuế Tỉnh Hà Nam,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Liêm Chung,Thành phố Phủ Lý,Hà Nam.,HNM,MB,https://masothue.com/0700236868-truong-cao-dang-thuy-loi-bac-bo,Không chứa thông tin hoá đơn,,,,,,
