Xếp hạng VNR500,Mã số thuế,Mã chứng khoán,Trụ sở chính,Tel,Fax,E-mail,Website
326(B2/2021),0800286887,Chưa niêm yết,Km 77+500 - Xã Kim Liên - Huyện Kim Thành - Tỉnh Hải Dương,0220-3560641,0220-3560642,bch@gmail.com.vn,
327(B2/2021),0900234699,Chưa niêm yết,KCN Phố Nối A-Xã Lạc Đạo-Huyện Văn Lâm-Tỉnh Hưng Yên,0221-3990550,0221-3990560,office@nqs.com.vn,
323(B2/2021),0100276146,Chưa niêm yết,84 Đội Cấn - Phường Đội Cấn - Quận Ba Đình - TP. Hà Nội,04-37221689,04-38233449,hoabinhgroup2012@gmail.com,
328(B2/2021),2800463346,LSS,Thị Trấn Lam Sơn-Huyện Thọ Xuân-Tỉnh Thanh Hóa,0237-8996667,0237-3834092,info@lasuco.com.vn,
330(B2/2021),0200170658,Chưa niêm yết,Số 1 Phan Đình Giót - Phường Phương Liệt - Quận Thanh Xuân - TP. Hà Nội,024-36647595,024-36647600,vanphong@itasco.vn,
334(B2/2021),0100828742,Chưa niêm yết,Lô 2 - 9A - KCN Quận Hoàng Mai - Phường Hoàng Văn Thụ - Quận Hoàng Mai - TP. Hà Nội,024-39715384,024-39715373,info@ict.com.vn,
331(B2/2021),0200611969,Chưa niêm yết,TT. Minh Đức - Huyện Thuỷ Nguyên - TP. Hải Phòng,024 73088999,024 73088996,contact@betongminhduc.com.vn,
333(B2/2021),0102524651,SHS,"Tầng 1-5, Tòa nhà Unimex Hà Nội, Số 41 Ngô Quyền - Phường Hàng Bài - Quận Hoàn Kiếm - TP. Hà Nội",024-38181888,024-38181688,contact@shs.com.vn,
332(B2/2021),0102637020,Chưa niêm yết,Số 180 Trường Chinh - Phường Khương Thượng - Quận Đống Đa - TP. Hà Nội,024-32321036,024-37674991,eco@ecopharma.com.vn,
329(B2/2021),1101573295,Chưa niêm yết,14 Nguyễn Văn Vĩnh - Phường 4 - Quận Tân Bình - TP. Hồ Chí Minh,028-77779999,đang cập nhật..,mrnguyen231@gmail.com,
335(B2/2021),0101449271,NSC,Số 1 Phố Lương Đình Của - Phường Phương Mai - Quận Đống Đa - TP. Hà Nội,024-38523294,024-38527996,nsc@vinaseed.com.vn,
336(B2/2021),0400102616,Chưa niêm yết,Quốc lộ 1A-Xã Hòa Châu-Huyện Hòa Vang-TP. Đà Nẵng,0511-3941315,0511-3685881,nhatluat@nhanluat.com.vn,
340(B2/2021),3700778489,Chưa niêm yết,"Thửa đất số 214, Tờ bản đồ số 22, Khu phố Long Bình - Phường Khánh Bình - Thị xã Tân Uyên - Bình Dương",0650-3652882,0650-3652883,marketing@bmbsteel.com.vn,
341(B2/2021),0101306139,Chưa niêm yết,"ADG Tower, Số 37 Lê Văn Thiêm - Phường Nhân Chính - Quận Thanh Xuân - TP. Hà Nội",024-44550088,,info@austdoor.com,
337(B2/2021),0303099446,Chưa niêm yết,99 Trần Hưng Đạo - Phường Cầu Ông Lãnh - Quận 1 - TP. Hồ Chí Minh,,,,
338(B2/2021),0103018538,PLP,"Lô Đất CN4.3 KCN MP Đình Vũ, Khu Kinh tế Đình Vũ-Cát Hải - Phường Đông Hải 2 - Quận Hải An - TP. Hải Phòng",0225-8830102,,info@phaleminerals.com.vn,
343(B2/2021),1800155452,SDG,366E Cách Mạng Tháng 8 - Phường Bùi Hữu Nghĩa - Quận Bình Thuỷ - TP. Cần Thơ,0292-3884354 / 3884919,0292-3821141,kinhdoanh@sadico.com.vn,
339(B2/2021),1200526842,THG,90 Đinh Bộ Lĩnh-Phường 9-TP. Mỹ Tho-Tỉnh Tiền Giang,0273-3872878,0273-3850597,ticco@ticco.com.vn,
342(B2/2021),1401976866,Chưa niêm yết,"Cụm Công nghiệp Vàm Cống, Ấp An Thạnh - Xã Bình Thành - Huyện Lấp Vò - Tỉnh Đồng Tháp",0277-3980998,0277-3980997,hotro@saomaisuperfeed.com,
344(B2/2021),0300610408,Chưa niêm yết,2C Phó Đức Chính - Phường Nguyễn Thái Bình - Quận 1 - TP. Hồ Chí Minh,028-39143183,028-39143193,webadmin@saigonbank.com.vn,
346(B2/2021),0301424404,Chưa niêm yết,"Tòa nhà Thép Toàn Thắng, 8A - 10A Trường Sơn, Phường 2, Q.Tân Bình, TP. Hồ Chí Minh",028-38443304,028-38456092,toanthangsteel@hcm.fpt.vn,
347(B2/2021),0102806367,EVF,"Tầng 14, 15 và 16, Tháp B, Tòa nhà EVN, số 11 Cửa Bắc - Phường Trúc Bạch - Quận Ba Đình - TP. Hà Nội",024-22229999,024-22221999,taichinhdienluc@evnfe.vn / lienhe@evnfc.vn,
349(B2/2021),0305475110,PVP,"Tầng 3, Tòa nhà PVFCCo, 43 Mạc Đĩnh Chi - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh",028-38228546,028-38228545,pacific@pvtrans.com,
345(B2/2021),0101099228,DAG,Tầng 9 - Tháp Tây - Tòa nhà Hancorp Plaza - 72 Trần Đăng Ninh - Quận Cầu Giấy - TP. Hà Nội,024-37342888,024-37938942,info@nhuadonga.com.vn,
348(B2/2021),0305299779,VCI,"Tầng 15, Tháp tài chính Bitexco, số 2 Hải Triều, Quận 1, Tp. Hồ Chí Minh, Việt Nam",028-39143588,028-39143209,info@vcsc.com.vn,
350(B2/2021),0100100590,Chưa niêm yết,Số 9 Ngõ 253 Minh Khai - Phường Vĩnh Tuy - Quận Hai Bà Trưng - TP. Hà Nội,04-36363867,04-38623356,Det10-10@hn.vnn.vn,
352(B2/2021),0200157840,Chưa niêm yết,268 Trần Nguyên Hãn - Phường Cát Dài - Quận Lê Chân - TP. Hải Phòng,031 3856251,031 3856451,bachdangcorp@gmail.com,
351(B2/2021),0313094165,Chưa niêm yết,"Số 34, Đường 44 - Phường Thảo Điền - TP. Thủ Đức - TP. Hồ Chí Minh",028-37404899,028-37402969,,
357(B2/2021),0304752594,Chưa niêm yết,222 Pasteur-Phường 06-Quận 3-TP. Hồ Chí Minh,028-38241919,028-39300821,media@media.datvietvac.vn,
354(B2/2021),0101405355,S99,"Tầng 3, Tháp C, Tòa Nhà Golden Palace - Đường Mễ Trì - Phường Mễ Trì - Quận Nam Từ Liêm - TP. Hà Nội",024-37684495,024-37684490,sci@scigroup.vn,
353(B2/2021),0100101403,Chưa niêm yết,59 Đức Giang - Long Biên - Phường Đức Giang - Quận Long Biên - TP. Hà Nội,024-38272159,024-38274619,support@mayducgiang.com.vn,
356(B2/2021),0302802627,Chưa niêm yết,327 Xa Lộ Hà Nội - Phường An Phú - Quận 2 - TP. Hồ Chí Minh,028-37442266,028-37442288,info@ritavo.com,
359(B2/2021),3900513521,Chưa niêm yết,"Số 9 đường QH6, Đường Đặng Ngọc Chinh-KP. 5-Phường 3-TP. Tây Ninh-Tỉnh Tây Ninh",0276-3815182,0276-3815182,contact@haidang-corp.com,
360(B2/2021),0303376241,Chưa niêm yết,"Lô C, Đường D6, KCN Đức Hòa III - Việt Hóa - Xã Đức Lập Hạ - Huyện Đức Hoà - Tỉnh Long An",0272-3775544,0272-3775545,hotmail@thienphusico.com,
355(B2/2021),0306012059,Chưa niêm yết,33/8/19A Phạm Văn Chiêu - Phường 14 - Quận Gò Vấp - TP. Hồ Chí Minh,0274-3739510 / 3739511 / 3739512,0274-3739344,info@khaihoanpaper.com,
358(B2/2021),0100683374,Chưa niêm yết,158/2 Phố Hồng Mai - Phường Quỳnh Lôi - Quận Hai Bà Trưng - TP. Hà Nội,024-38634597,024-38632061,info@ctin.vn,
361(B2/2021),0307859271,Chưa niêm yết,"P103, Lầu 1, Lô B C/c Trần Kế Xương-Phường 07-Quận Phú Nhuận-TP. Hồ Chí Minh",028-840837858181,028-840837850808,info@tuanle.com.vn,
365(B2/2021),0303587122,Chưa niêm yết,889 Trường Chinh - Phường Tây Thạnh - Quận Tân Phú - TP. Hồ Chí Minh,028-38153010,028-38153226,nakydaco@hcm.vnn.vn,
362(B2/2021),0400101404,DDN,Số 2 Phan Đình Phùng - Phường Hải Châu 1 - Quận Hải Châu - TP. Đà Nẵng,0236-3810735,0236-3891752,infor@dapharco.com.vn,
364(B2/2021),0105283073,Chưa niêm yết,"LK 18-24, Galaxy 8, Khu nhà ở Ngân Hà Vạn Phúc, 69 Tố Hữu - Phường Vạn Phúc - Quận Hà Đông - TP. Hà Nội",024-39430888,,info@cdchn.com.vn,
363(B2/2021),0305390530,GSP,"Tầng 13, tòa nhà Sofic, số 10 Mai Chí Thọ, P.Thủ Thiêm, Tp. Thủ Đức, TP.HCM, Việt Nam.",028-22205388,028-22205366,postmaster@gasshipping.com.vn,
366(B2/2021),0101311315,PHC,"Tầng 1, Tháp A, Tòa Nhà CT2 (The Light), Đường Tố Hữu - Phường Trung Văn - Quận Nam Từ Liêm - TP. Hà Nội",024-66646518/19/20,024-66646521,info@phuchung.com.vn,
368(B2/2021),0303739921,Chưa niêm yết,D2-19 KP Mỹ Hưng 2 Nguyễn Văn Linh - Phường Tân Phong - Quận 7 - TP. Hồ Chí Minh,028-62915858,028-62915919,info@phulong.com,
367(B2/2021),0313743966,Chưa niêm yết,161 Võ Văn Tần - Phường Võ Thị Sáu - Quận 3 - TP. Hồ Chí Minh,028-35260196,,,
370(B2/2021),0309828977,Chưa niêm yết,Số 76 đường Trần Minh Quyền - Phường 11 - Quận 10 - TP. Hồ Chí Minh,028-38339537 / 38339538,028-38339536,info@thuanminh.com.vn,
376(B2/2021),0300588664,Chưa niêm yết,93 Nguyễn Công Trứ-Phường Nguyễn Thái Bình- Quận 1-TP. Hồ Chí Minh,028-38296818,028-38295550,ctyxaylap-vtxd@fpt.vnn.vn,
372(B2/2021),0301985093,Chưa niêm yết,Số 307D - Đường Nguyễn Văn Trỗi - Phường 1 - Quận Tân Bình - TP. Hồ Chí Minh,028-39973979,028-39973737,info@namvietsteel.com,
374(B2/2021),0101188943,Chưa niêm yết,Số 29 Biệt thự 3 Bán Đảo Linh Đàm - Phường Hoàng Liệt - Quận Hoàng Mai - TP. Hà Nội,04-36418813,04-36418812,info@thaitan.vn,
375(B2/2021),0102117529,Chưa niêm yết,"Tầng 6, Số 79 Lý Thường Kiệt - Phường Cửa Nam - Quận Hoàn Kiếm - TP. Hà Nội",024-37280921,024-37280920,contact@tvsi.com.vn,
373(B2/2021),1401598685,Chưa niêm yết,"Lô 18-19, khu công nghiệp Sông Hậu - Xã Tân Thành - Huyện Lai Vung - Tỉnh Đồng Tháp",0277-3615999,0277-3613999,,
371(B2/2021),0301825452,SRF,"Lầu 14, Tòa nhà VP Centec Tower, Số 72 - 74 Nguyễn Thị Minh Khai - Phường 6 - Quận 3 - TP. Hồ Chí Minh",028-38227260,028-38226001,info@searefico.com,
369(B2/2021),3600506058,Chưa niêm yết,Đường số 2 KCN Biên Hòa 1 - Phường An Bình - TP. Biên Hòa - Tỉnh Đồng Nai,061-3836151,061-3836141,office@donagamex.com.vn,
379(B2/2021),0102018260,Chưa niêm yết,Số 229 phố Tây Sơn-Phường Ngã Tư Sở-Quận Đống Đa-TP. Hà Nội,024-35575825,024-35575827,online@pico.com.vn,
378(B2/2021),0304355389,Chưa niêm yết,"Lô 22 Đường Số 7, KCN Tân Tạo Phường Tân Tạo A-Phường Tân Tạo A-Quận Bình Tân-TP. Hồ Chí Minh",028-37543624,028-37543625,info@kienvuong.com,
380(B2/2021),0101183550,CEO,"Tầng 5, Tháp CEO, Lô HH2-1, Đường Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm - TP. Hà Nội",024-37875136,024-37875137,info@ceogroup.com.vn,
377(B2/2021),0309930593,Chưa niêm yết,"Số 33 Đường 211A, Khu phố 4 - Phường Tân Phú - TP. Thủ Đức - TP. Hồ Chí Minh",028-62960913,028-62607186,maitienphat.sale@gmail.com,
383(B2/2021),0102737963,Chưa niêm yết,"Tầng 15, Tòa nhà Geleximco, số 36, Hoàng Cầu, Quận Đống Đa, Thành Phố Hà Nội",(024)-6276 5555,(024)-6276 5556,contact@bhhk.com.vn,
382(B2/2021),0101468933,Chưa niêm yết,"Số 49 Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Thành Phố Hà Nội.",1900.0323,,hcns@anphatpc.com.vn,
381(B2/2021),1400384433,IMP,"Số 4, Đường 30/4 - Phường 1 - TP. Cao Lãnh - Tỉnh Đồng Tháp",0277-3851941,0277-3853106,imp@imexpharm.com,
384(B2/2021),0108704763,Chưa niêm yết,"Tầng 8, toà nhà Sunshine Center, 16 Phạm Hùng - Phường Mỹ Đình 2 - Quận Nam Từ Liêm - TP. Hà Nội",024-73059979,,info@scgr.vn,
385(B2/2021),0101428070,Chưa niêm yết,"Số 11, Ngõ 89 Phố Kim Quan Thượng - Phường Việt Hưng - Quận Long Biên - TP. Hà Nội",024-36523222,024-36524222,contact@nsn.com.vn,
389(B2/2021),0100100625,SRC,Số 231 Nguyễn Trãi - Phường Thượng Đình - Quận Thanh Xuân - TP. Hà Nội,024-38583656,024-38583644,caosusaovang@src.com.vn,
388(B2/2021),3700148825,KSB,Đại lộ Bình Dương - Khu phố Hòa Lân I - Phường Thuận Giao - TP. Thuận An - Tỉnh Bình Dương,0274-3822602,0274-3823922,info@bimico.com.vn,
391(B2/2021),0900264799,TDP,Thôn Bằng Ngang - Thị trấn Lương Bằng - Huyện Kim Động - Tỉnh Hưng Yên,0221-3810705,0221-3810706,support@thuanducsjc.vn,
392(B2/2021),1000389853,Chưa niêm yết,"Lô A4, đường Bùi Viện, KCN Nguyễn Đức Cảnh - Phường Trần Hưng Đạo - TP. Thái Bình - Tỉnh Thái Bình",0227-3642311,0227-3642312,damsanjsc@gmail.com,
386(B2/2021),0101179473,Chưa niêm yết,17 Hàng Bún - Phường Nguyễn Trung Trực - Quận Ba Đình - TP. Hà Nội,024-39284706,024-39284709,info@richy.com.vn,
387(B2/2021),0301458065,Chưa niêm yết,185 Điện Biên Phủ - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-38239219,028-38228967,info@baohiembaolong.vn,
390(B2/2021),2500552524,Chưa niêm yết,"Lô 1, KCN Thái Hòa-Liễn Sơn-Liên Hòa - Thị trấn Hoa Sơn - Huyện Lập Thạch - Tỉnh Vĩnh Phúc",0211-2481889,,,
394(B2/2021),1300230895,Chưa niêm yết,"Lô A36, A37 KCN An Hiệp - Xã An Hiệp - Huyện Châu Thành - Tỉnh Bến Tre",0275-3626319,0275-3626315,info@vietcoco.com.vn,
395(B2/2021),2600107284,Chưa niêm yết,Đường Sông Thao - Phường Bến Gót - TP. Việt Trì - Tỉnh Phú Thọ,0210-3862761,0210-3862754,gvt@giayviettri.com,
396(B2/2021),2600106523,CVT,"Lô B10 – B11, Khu công nghiệp Thụy Vân - xã Thụy Vân - TP. Việt Trì - Tỉnh Phú Thọ",0210-3991706,0210-3991800,cmctilejsc@gmail.com,
397(B2/2021),0400461301,Chưa niêm yết,76-78 Bạch Đằng - Phường Hải Châu I - Quận Hải Châu - TP. Đà Nẵng,0236 3749 300,0236 3749 305,info@dinco.com.vn,
400(B2/2021),3600363970,BBC,443 Lý Thường Kiệt - Phường 8 - Quận Tân Bình - TP. Hồ Chí Minh,028-39717920,028-39717922,bibica@bibica.com.vn,
399(B2/2021),0102182140,FIT,"Tầng 5, Tòa nhà HACC1 Complex Building, Số 35 Lê Văn Lương - Phường Nhân Chính - Quận Thanh Xuân - TP. Hà Nội",024-73094688,024-73094686,info@fitgroup.com.vn,
393(B2/2021),0313562014,Chưa niêm yết,140B Nguyễn Văn Trỗi - Phường 08 - Quận Phú Nhuận - TP. Hồ Chí Minh,028-38549920 / 38538808,028-38550063 / 38538808,đang cập nhật..,
398(B2/2021),0102681319,KOS,"B6-BT5, Khu đô thị mới Mỹ Đình 2 - Phường Mỹ Đình 2 - Quận Nam Từ Liêm - TP. Hà Nội",024-37833660 / 38378866,024-37833661,infor@kosy.vn,
401(B2/2021),3600364780,Chưa niêm yết,Số 64 Quốc lộ 51 - Xã Phước Tân - TP. Biên Hòa - Tỉnh Đồng Nai,061-3930798 / 3930723,061-3930412,info@vinafeed.com,
402(B2/2021),4100259564,DBD,498 Nguyễn Thái Học - Phường Quang Trung - TP. Quy Nhơn - Tỉnh Bình Định,0256-3846500,0256-3846846,info@bidiphar.com,
403(B2/2021),0100274124,Chưa niêm yết,"Só Nhà 13, Lô 13a-Phường Trung Hoà- Quận Cầu Giấy-TP. Hà Nội",04-37831673,04-37831676,đang cập nhật..,
406(B2/2021),1201044062,Chưa niêm yết,"527-529 Bình Thới, Phường 10-Quận 11-Thành phố Hồ Chí Minh",028-38585858,028-38588849,support@minhungroup.com,
405(B2/2021),0300993574,Chưa niêm yết,222 Pasteur - Phường 06 - Quận 3 - TP. Hồ Chí Minh,028-38232246,028-38290507,info@datvietvac.vn,
404(B2/2021),0102886450,Chưa niêm yết,Tầng 4 - Tòa Nhà Viện Dầu Khí Việt Nam - Số 173 Đường Trung Kí - Quận Cầu Giấy - TP. Hà Nội,+84 - 24 - 3537 8256,+84 - 24 - 3537 8255,pmb@pvfcco.com.vn,
408(B2/2021),0301921780,Chưa niêm yết,"Tầng 2704, Sai Gon Trade Center, 37 Tôn Đức Thắng - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-39150209,028 37543607,kimduc@kimduc.com.vn,
407(B2/2021),0302273109,Chưa niêm yết,02 Ngô Đức Kế - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,08-62581136,08-62581137,mayphatdien@hcm.vnn.vn,
410(B2/2021),0305358801,Chưa niêm yết,39B Trường Sơn - Phường 04 - Quận Tân Bình - TP. Hồ Chí Minh,028-62647222,,info@dolphinseaair.com,
409(B2/2021),0314637978,Chưa niêm yết,82-82A-82B-82C Võ Văn Tần - Phường Võ Thị Sáu - Quận 3 - TP. Hồ Chí Minh,028-38888989,,info@htcg.vn,
411(B2/2021),0302495140,Chưa niêm yết,215 - 217 Trần Hưng Đạo - Phường Cô Giang - Quận 1 - TP. Hồ Chí Minh,028-38368473 / 38367969,028-38369434,info@cmid.com.vn,
415(B2/2021),4100258747,C47,8 Biên Cương - Phường Ngô Mây - TP. Quy Nhơn - Tỉnh Bình Định,0256-3522166,0256-3522316,c47@xaydung47.vn,
412(B2/2021),0901019782,Chưa niêm yết,118 Nguyễn Du - Quận Hai Bà Trưng - TP. Hà Nội,024-39422828,024-39427840,pr-marketing@ngocdiep.vn,
416(B2/2021),4201620427,Chưa niêm yết,Lô A4-A8 Khu công nghiệp Suối Dầu - Xã Suối Tân - Huyện Cam Lâm - Tỉnh Khánh Hòa,0258-3743666,0258-3743678,info@tunavietnam.com,
414(B2/2021),3600697236,Chưa niêm yết,"Đường D2, Cụm Công Nghiệp Hố Nai 3 - Xã Hố Nai 3 - Huyện Trảng Bom - Tỉnh Đồng Nai",028-62882181 / 0916871010,028-62882163,sales_domestic@hoangdaivuong.com,
413(B2/2021),0100107275,Chưa niêm yết,558 Nguyễn Văn Cừ - Phường Gia Thụy - Quận Long Biên - TP. Hà Nội,04-38271412,04-38271721,spj@spj.com.vn,
417(B2/2021),0302533156,Chưa niêm yết,297/5 Lý Thường Kiệt - Phường 15 - Quận 11 - TP. Hồ Chí Minh,028-38650258,028-38650394,info@mekophar.com,
418(B2/2021),3700820571,Chưa niêm yết,Lô 3.2 - Đường số 2 - KCN Tân Đông Hiệp A - Phường Tân Đông Hiệp - Thị xã Dĩ An - Tỉnh Bình Dương,0274-3727015,0274-3727013,info@donghungfootwear.com,
424(B2/2021),2500209363,Chưa niêm yết,"Km3, Quốc lộ 2 - Phường Phúc Thắng - TP. Phúc Yên - Tỉnh Vĩnh Phúc",024-66530666,024-66530999,info@shggroup.vn,
423(B2/2021),0100105895,VC2,Tầng 2-4-Tòa nhà D1-Khu đô thị mới Kim Văn-Kim Lũ-Phường Đại Kim-Quận Hoàng Mai-TP. Hà Nội,024-37530936,024-38361012,vinaconex2@vinaconex2jsc.vn,
422(B2/2021),0301776205,VNL,145-147 Nguyễn Tất Thành - Phường 13 - Quận 4 - TP. Hồ Chí Minh,028-38255389,028-39405331,headoffice@vinalinklogistic.com,
421(B2/2021),0103818809,HAH,"Tầng 7, Số 45 Triệu Việt Vương - Phường Bùi Thị Xuân - Quận Hai Bà Trưng - TP. Hà Nội",024-39877515,024-39744022,info@haiants.vn,
419(B2/2021),0101508664,INN,Số 72 Trường Chinh - Phường Phương Mai - Quận Đống Đa - TP. Hà Nội,024-36840093 / 38695605,024-36840095 / 38695605,info@appmail.vn,
420(B2/2021),0400101965,HHV,27 Bùi Chát - Phường Hòa Khánh Bắc - Quận Liên Chiểu - TP. Đà Nẵng,0236-3730574,0236-3842713,hmc.vanthu@deoca.vn,
425(B2/2021),0102278484,OGC,"Tòa nhà VNT Tower – Số 19 Nguyễn Trãi, Thanh Xuân, Hà Nội",024-37727252,024-37727073,info@oceangroup.vn,
426(B2/2021),0100510501,Chưa niêm yết,KCN Vừa Và Nhỏ Phú Thị - Xã Phú Thị - Huyện Gia Lâm - TP. Hà Nội,19000399,+842436785459,info@grando.vn,
428(B2/2021),0302563707,ST8,A20 Tân Phong Nguyễn Hữu Thọ-Phường Tân Phong-Quận 7-TP. Hồ Chí Minh,028-62628888,028-62625888,info@st8.vn,
433(B2/2021),0308779300,Chưa niêm yết,31 Võ Văn Tần - Phường Tân Tạo - Quận Bình Tân - TP. Hồ Chí Minh,028-62686132,028-62686538,info@aseanwindow.com.vn,
434(B2/2021),1700113586,CKG,34 Trần Phú - Phường Vĩnh Thanh - TP. Rạch Giá - Tỉnh Kiên Giang,0297-3874660,0297-3866451,tvkg@cicgroups.com,
427(B2/2021),3600723398,Chưa niêm yết,Lô 9 Khu Công Nghiệp Gò Dầu - Xã Phước Thái - Huyện Long Thành - Tỉnh Đồng Nai,0251-3541888,0251-3541898,info@vtc-ceramics.com,
430(B2/2021),0305706103,Chưa niêm yết,314 Bông Sao - Phường 5 - Quận 8 - TP. Hồ Chí Minh,028-62873549 / 22508789 / 22508791,028-38734685,info@anthienpharma.com.vn,
432(B2/2021),0301123125,SAS,Sân bay Quốc tế Tân Sơn Nhất - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh,028-38448358,028-38447812,sasco@sasco.com.vn,
429(B2/2021),0101099475,Chưa niêm yết,Tòa nhà Thủy Linh  - 33 Thái Hà - Phường Trung Liệt - Quận Đống Đa - TP. Hà Nội,024-35371525,024-35371526,info@thuylinh.vn,
435(B2/2021),0106393583,MBS,"Tòa nhà MB, Số 3 Liễu Giai - Quận Ba Đình - TP. Hà Nội",024-37262600,024-37262601,,
431(B2/2021),0101130774,Chưa niêm yết,44 Hào Nam - Quận Đống Đa - TP. Hà Nội,04-9783799,04-9783800,thanglongelevator@tle.com.vn,
436(B2/2021),0101206367,NA,Xã Tứ Hiệp-Huyện Thanh Trì- TP. Hà Nội,04-38617508,04-36870685,sales@daihuu.com.vn,
437(B2/2021),3400382278,ABS,Số 3 Nguyễn Du. - Phường Đức Thắng - TP. Phan Thiết - Tỉnh Khánh Hòa,0252-3721555,0252-3722622,dvnnbinhthuan@gmail.com,
438(B2/2021),4000378744,Chưa niêm yết,KCN Trường Xuân - Phường Trường Xuân - TP. Tam Kỳ - Tỉnh Quảng Nam,0235-6294238,,Trung.nd@tuandat.com.vn,
442(B2/2021),4200644489,Chưa niêm yết,"Tòa nhà VCN, đường A1, KĐT Vĩnh Điềm Trung - TP. Nha Trang - Tỉnh Khánh Hòa",0258-6254125,0258-6254025,info@vcn.vn,
440(B2/2021),2500217389,NAG,Khu 9 - Phường Phúc Thắng - TP. Phúc Yên - Tỉnh Vĩnh Phúc,0211-3873568 / 024-32151329,0211-3530265 / 024-32151327,info@nagakawa.com.vn,
441(B2/2021),0102036100,Chưa niêm yết,"Tầng 05 tòa nhà Stellar Garden, Số 35 Lê Văn Thiêm, phường Thanh Xuân Trung, quận Thanh Xuân, Hà Nội",0243.2012250,0243.2012251,,
439(B2/2021),0102766770,Chưa niêm yết,"Tầng 17, tòa nhà MIPEC TOWER, số 229 Tây Sơn - Phường Ngã Tư Sở - Quận Đống Đa - TP. Hà Nội",028 6285 8185,,phucvu247@vietcredit.com.vn,
443(B2/2021),0600206147,Chưa niêm yết,415 Hàn Thuyên - Phường Vị Xuyên - TP. Nam Định - Tỉnh Nam Định,0228-3649408,0228-3644650 / 3636675,info@namhapharma.com,
444(B2/2021),0312173537,Chưa niêm yết,"176/1 - 176/3, Đường Nguyễn Văn Thương - Phường 25 - Quận Bình Thạnh - TP. Hồ Chí Minh",028-35129632,028-35129632,info@bcons.com.vn,
445(B2/2021),0900220897,Chưa niêm yết,KCN Phố Nối A-Xã Trưng Trắc- Huyện Văn Lâm-Tỉnh Hưng Yên,0321-3982088,0321-3982218,goldcup@donggiang.vn,
446(B2/2021),4300369451,Chưa niêm yết,02 Nguyễn Chí Thanh-Phường Quảng Phú- TP. Quảng Ngãi-Tỉnh Quảng Ngãi,055-3822295,055-3814819,ngockhanhbia@yahoo.com,
447(B2/2021),0100108504,VFC,Thôn Tự Khoát - Xã Ngũ Hiệp - Huyện Thanh Trì - TP. Hà Nội,024-37684464 / 37685775,024-37684465,info@vinafco.com.vn,
448(B2/2021),0313541575,Chưa niêm yết,Số 31 Lý Văn Phức - Phường Tân Định - Quận 1 - TP. Hồ Chí Minh,028-38207127,028-38206082,contact@solenc.vn,
450(B2/2021),0304172307,Chưa niêm yết,178/11 Nguyễn Văn Thương -  Phường 25 - Quận Bình Thạnh - TP. Hồ Chí Minh,028-35127882,028-62584989,info@anphugia.com.vn,
449(B2/2021),0100101273,HTM,38-40 Lê Thái Tổ - Phường Hàng Trống - Quận Hoàn Kiếm - TP. Hà Nội,024-38267984,024-39288407,banthuonghieu@haprogroup.vn,
454(B2/2021),2800588271,Chưa niêm yết,109 Nguyễn Trãi - Phường Ba Đình - TP. Thanh Hóa - Tỉnh Thanh Hóa,0237-3854524,0237-3756565,themco@themco.com.vn,
452(B2/2021),3300101406,Chưa niêm yết,8 Nguyễn Trường Tộ - Phường Phước Vĩnh - TP. Huế - Tỉnh Thừa Thiên Huế,0254.823099,0254.826077,mediphar@dng.vnn.vn,
453(B2/2021),0310734321,Chưa niêm yết,"Số 24-24A Đường số 6, Khu đô thị mới Him Lam - Phường Tân Hưng - Quận 7 - TP. Hồ Chí Minh",028-62515061 / 0965502468,028-62515052,sale@azb.vn,
451(B2/2021),0300584155,Chưa niêm yết,36 Ung Văn Khiêm - Phường 25 - Quận Bình Thạnh - TP. Hồ Chí Minh,028-38994461,028-38990246,info@acsc.com.vn,
455(B2/2021),0314115227,Chưa niêm yết,6D Trần Quang Diệu - Phường 13 - Quận 3 - TP. Hồ Chí Minh,028-22531632 / 62915450,028-62969390,info@beecomm.com.vn,
456(B2/2021),1101928050,Chưa niêm yết,"Lô F1 Đường số 10, Cụm công nghiệp Hải Sơn - Xã Đức Hòa Đông - Huyện Đức Hoà - Tỉnh Long An",1900 63 60 98,,info@tapdoandaiviet.com.vn,
457(B2/2021),1500419552,Chưa niêm yết,"Tổ 10, Ấp Mỹ Hưng 2, Xã Mỹ Hòa, Thị xã Bình Minh, Tỉnh Vĩnh Long",02703. 752 513,02703. 892 935,info@ccc620.com,
456(B2/2021),0100112500,Chưa niêm yết,Tầng 12 - Vinaconex Tower - 34 Đường Láng Hạ - Phường Láng Hạ - Quận Đống Đa - TP. Hà Nội,024-62883568,024-62885678,deloittevietnam@deloitte.com,
459(B2/2021),0300363808,DQC,125 Hàm Nghi-Phường Nguyễn Thái Bình- Quận 1-TP. Hồ Chí Minh,08-38290135,08-38251518,info@dienquang.com,
